date_time,place,longitude,latitude,rainfall
20201109_130000, Fukuoka,130.375,33.58166667,0.0
20201109_130000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_130000, Tokyo,139.75,35.69166667,0.0
20201109_133000, Osaka,135.51833333,34.68166667,0.0
20201109_133000, Fukuoka,130.375,33.58166667,0.0
20201109_133000, Naha,127.68666667,26.20666667,0.0
20201109_133000, Tokyo,139.75,35.69166667,0.0
20201109_133000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_133000, Sendai,140.89666667,38.26166667,0.0
20201109_140000, Naha,127.68666667,26.20666667,0.0
20201109_140000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_140000, Fukuoka,130.375,33.58166667,0.0
20201109_140000, Osaka,135.51833333,34.68166667,0.0
20201109_140000, Tokyo,139.75,35.69166667,0.0
20201109_140000, Sendai,140.89666667,38.26166667,0.0
20201109_143000, Sendai,140.89666667,38.26166667,0.0
20201109_143000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_143000, Naha,127.68666667,26.20666667,0.0
20201109_143000, Osaka,135.51833333,34.68166667,0.0
20201109_143000, Fukuoka,130.375,33.58166667,0.0
20201109_143000, Tokyo,139.75,35.69166667,0.0
20201109_150000, Fukuoka,130.375,33.58166667,0.0
20201109_150000, Naha,127.68666667,26.20666667,0.0
20201109_150000, Sendai,140.89666667,38.26166667,0.0
20201109_150000, Tokyo,139.75,35.69166667,0.0
20201109_150000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_150000, Osaka,135.51833333,34.68166667,0.0
20201109_153000, Nigata,139.01833333,37.89333333,1.0
20201109_153000, Tokyo,139.75,35.69166667,0.0
20201109_153000, Osaka,135.51833333,34.68166667,0.0
20201109_153000, Naha,127.68666667,26.20666667,0.0
20201109_153000, Sendai,140.89666667,38.26166667,0.0
20201109_153000, Fukuoka,130.375,33.58166667,0.0
20201109_160000, Naha,127.68666667,26.20666667,0.0
20201109_160000, Sendai,140.89666667,38.26166667,0.0
20201109_160000, Tokyo,139.75,35.69166667,0.0
20201109_160000, Fukuoka,130.375,33.58166667,0.0
20201109_160000, Nigata,139.01833333,37.89333333,1.0
20201109_160000, Osaka,135.51833333,34.68166667,0.0
20201109_163000, Tokyo,139.75,35.69166667,0.0
20201109_163000, Sendai,140.89666667,38.26166667,0.0
20201109_163000, Fukuoka,130.375,33.58166667,0.0
20201109_163000, Osaka,135.51833333,34.68166667,0.0
20201109_163000, Naha,127.68666667,26.20666667,0.0
20201109_163000, Nigata,139.01833333,37.89333333,1.0
20201109_170000, Naha,127.68666667,26.20666667,0.0
20201109_170000, Tokyo,139.75,35.69166667,0.0
20201109_170000, Osaka,135.51833333,34.68166667,0.0
20201109_170000, Nigata,139.01833333,37.89333333,2.0
20201109_170000, Sendai,140.89666667,38.26166667,0.0
20201109_170000, Fukuoka,130.375,33.58166667,0.0
20201109_173000, Nigata,139.01833333,37.89333333,2.0
20201109_173000, Sendai,140.89666667,38.26166667,0.0
20201109_173000, Fukuoka,130.375,33.58166667,0.0
20201109_173000, Naha,127.68666667,26.20666667,0.0
20201109_173000, Tokyo,139.75,35.69166667,0.0
20201109_173000, Osaka,135.51833333,34.68166667,0.0
20201109_180000, Naha,127.68666667,26.20666667,0.0
20201109_180000, Osaka,135.51833333,34.68166667,0.0
20201109_180000, Fukuoka,130.375,33.58166667,0.0
20201109_180000, Sendai,140.89666667,38.26166667,0.0
20201109_180000, Tokyo,139.75,35.69166667,0.0
20201109_180000, Nigata,139.01833333,37.89333333,2.0
20201109_183000, Nigata,139.01833333,37.89333333,2.0
20201109_183000, Fukuoka,130.375,33.58166667,0.0
20201109_183000, Tokyo,139.75,35.69166667,0.0
20201109_183000, Naha,127.68666667,26.20666667,0.0
20201109_183000, Osaka,135.51833333,34.68166667,0.0
20201109_183000, Sendai,140.89666667,38.26166667,0.0
20201109_190000, Naha,127.68666667,26.20666667,0.0
20201109_190000, Osaka,135.51833333,34.68166667,0.0
20201109_190000, Fukuoka,130.375,33.58166667,0.0
20201109_190000, Tokyo,139.75,35.69166667,0.0
20201109_190000, Nigata,139.01833333,37.89333333,1.0
20201109_190000, Sendai,140.89666667,38.26166667,0.0
20201109_193000, Osaka,135.51833333,34.68166667,0.0
20201109_193000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_193000, Sendai,140.89666667,38.26166667,0.0
20201109_193000, Fukuoka,130.375,33.58166667,0.0
20201109_193000, Tokyo,139.75,35.69166667,0.0
20201109_193000, Naha,127.68666667,26.20666667,0.0
20201109_200000, Fukuoka,130.375,33.58166667,0.0
20201109_200000, Sendai,140.89666667,38.26166667,0.400000005960464
20201109_200000, Naha,127.68666667,26.20666667,0.0
20201109_200000, Tokyo,139.75,35.69166667,0.0
20201109_200000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_200000, Osaka,135.51833333,34.68166667,0.0
20201109_203000, Sendai,140.89666667,38.26166667,0.0
20201109_203000, Fukuoka,130.375,33.58166667,0.0
20201109_203000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_203000, Osaka,135.51833333,34.68166667,0.0
20201109_203000, Naha,127.68666667,26.20666667,0.0
20201109_203000, Tokyo,139.75,35.69166667,0.0
20201109_210000, Sendai,140.89666667,38.26166667,0.0
20201109_210000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_210000, Osaka,135.51833333,34.68166667,0.0
20201109_210000, Fukuoka,130.375,33.58166667,0.0
20201109_210000, Naha,127.68666667,26.20666667,0.0
20201109_210000, Tokyo,139.75,35.69166667,0.0
20201109_213000, Osaka,135.51833333,34.68166667,0.0
20201109_213000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_213000, Sendai,140.89666667,38.26166667,0.0
20201109_213000, Fukuoka,130.375,33.58166667,0.0
20201109_213000, Naha,127.68666667,26.20666667,0.0
20201109_213000, Tokyo,139.75,35.69166667,0.0
20201109_220000, Naha,127.68666667,26.20666667,0.0
20201109_220000, Fukuoka,130.375,33.58166667,0.0
20201109_220000, Sendai,140.89666667,38.26166667,0.0
20201109_220000, Tokyo,139.75,35.69166667,0.0
20201109_220000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_220000, Osaka,135.51833333,34.68166667,0.0
20201109_223000, Osaka,135.51833333,34.68166667,0.0
20201109_223000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_223000, Sendai,140.89666667,38.26166667,0.0
20201109_223000, Fukuoka,130.375,33.58166667,0.0
20201109_223000, Tokyo,139.75,35.69166667,0.0
20201109_223000, Naha,127.68666667,26.20666667,0.0
20201109_230000, Sendai,140.89666667,38.26166667,0.0
20201109_230000, Osaka,135.51833333,34.68166667,0.0
20201109_230000, Tokyo,139.75,35.69166667,0.0
20201109_230000, Fukuoka,130.375,33.58166667,0.0
20201109_230000, Naha,127.68666667,26.20666667,0.0
20201109_230000, Nigata,139.01833333,37.89333333,0.400000005960464
20201109_233000, Nigata,139.01833333,37.89333333,0.0
20201109_233000, Osaka,135.51833333,34.68166667,0.0
20201109_233000, Tokyo,139.75,35.69166667,0.0
20201109_233000, Sendai,140.89666667,38.26166667,0.400000005960464
20201109_233000, Naha,127.68666667,26.20666667,0.0
20201109_233000, Fukuoka,130.375,33.58166667,0.0
20201110_000000, Nigata,139.01833333,37.89333333,0.0
20201110_000000, Fukuoka,130.375,33.58166667,0.0
20201110_000000, Sendai,140.89666667,38.26166667,0.400000005960464
20201110_000000, Tokyo,139.75,35.69166667,0.0
20201110_000000, Osaka,135.51833333,34.68166667,0.0
20201110_000000, Naha,127.68666667,26.20666667,0.0
20201110_003000, Naha,127.68666667,26.20666667,0.400000005960464
20201110_003000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_003000, Tokyo,139.75,35.69166667,0.0
20201110_003000, Osaka,135.51833333,34.68166667,0.0
20201110_003000, Fukuoka,130.375,33.58166667,0.0
20201110_003000, Sendai,140.89666667,38.26166667,0.0
20201110_010000, Osaka,135.51833333,34.68166667,0.0
20201110_010000, Fukuoka,130.375,33.58166667,0.0
20201110_010000, Naha,127.68666667,26.20666667,0.400000005960464
20201110_010000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_010000, Sendai,140.89666667,38.26166667,0.0
20201110_010000, Tokyo,139.75,35.69166667,0.0
20201110_013000, Fukuoka,130.375,33.58166667,0.0
20201110_013000, Sendai,140.89666667,38.26166667,0.0
20201110_013000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_013000, Tokyo,139.75,35.69166667,0.0
20201110_013000, Naha,127.68666667,26.20666667,0.400000005960464
20201110_013000, Osaka,135.51833333,34.68166667,0.0
20201110_020000, Osaka,135.51833333,34.68166667,0.0
20201110_020000, Tokyo,139.75,35.69166667,0.0
20201110_020000, Sendai,140.89666667,38.26166667,0.0
20201110_020000, Fukuoka,130.375,33.58166667,0.0
20201110_020000, Nigata,139.01833333,37.89333333,0.0
20201110_020000, Naha,127.68666667,26.20666667,0.400000005960464
20201110_023000, Nigata,139.01833333,37.89333333,0.0
20201110_023000, Sendai,140.89666667,38.26166667,0.0
20201110_023000, Fukuoka,130.375,33.58166667,0.0
20201110_023000, Osaka,135.51833333,34.68166667,0.0
20201110_023000, Tokyo,139.75,35.69166667,0.0
20201110_023000, Naha,127.68666667,26.20666667,0.400000005960464
20201110_030000, Fukuoka,130.375,33.58166667,0.0
20201110_030000, Naha,127.68666667,26.20666667,0.0
20201110_030000, Osaka,135.51833333,34.68166667,0.0
20201110_030000, Nigata,139.01833333,37.89333333,0.0
20201110_030000, Tokyo,139.75,35.69166667,0.0
20201110_030000, Sendai,140.89666667,38.26166667,0.0
20201110_033000, Naha,127.68666667,26.20666667,0.0
20201110_033000, Osaka,135.51833333,34.68166667,0.0
20201110_033000, Sendai,140.89666667,38.26166667,0.0
20201110_033000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_033000, Tokyo,139.75,35.69166667,0.0
20201110_033000, Fukuoka,130.375,33.58166667,0.0
20201110_040000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_040000, Tokyo,139.75,35.69166667,0.0
20201110_040000, Naha,127.68666667,26.20666667,0.0
20201110_040000, Sendai,140.89666667,38.26166667,0.0
20201110_040000, Osaka,135.51833333,34.68166667,0.0
20201110_040000, Fukuoka,130.375,33.58166667,0.0
20201110_043000, Fukuoka,130.375,33.58166667,0.0
20201110_043000, Naha,127.68666667,26.20666667,0.0
20201110_043000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_043000, Osaka,135.51833333,34.68166667,0.0
20201110_043000, Tokyo,139.75,35.69166667,0.0
20201110_043000, Sendai,140.89666667,38.26166667,0.0
20201110_050000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_050000, Fukuoka,130.375,33.58166667,0.0
20201110_050000, Naha,127.68666667,26.20666667,0.0
20201110_050000, Tokyo,139.75,35.69166667,0.0
20201110_050000, Osaka,135.51833333,34.68166667,0.0
20201110_050000, Sendai,140.89666667,38.26166667,0.0
20201110_053000, Naha,127.68666667,26.20666667,0.0
20201110_053000, Osaka,135.51833333,34.68166667,0.0
20201110_053000, Fukuoka,130.375,33.58166667,0.0
20201110_053000, Tokyo,139.75,35.69166667,0.0
20201110_053000, Sendai,140.89666667,38.26166667,0.0
20201110_053000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_060000, Nigata,139.01833333,37.89333333,0.0
20201110_060000, Sendai,140.89666667,38.26166667,0.0
20201110_060000, Naha,127.68666667,26.20666667,0.0
20201110_060000, Tokyo,139.75,35.69166667,0.0
20201110_060000, Osaka,135.51833333,34.68166667,0.0
20201110_063000, Fukuoka,130.375,33.58166667,0.0
20201110_063000, Naha,127.68666667,26.20666667,0.0
20201110_063000, Nigata,139.01833333,37.89333333,0.0
20201110_063000, Osaka,135.51833333,34.68166667,0.0
20201110_063000, Sendai,140.89666667,38.26166667,0.0
20201110_063000, Tokyo,139.75,35.69166667,0.0
20201110_070000, Tokyo,139.75,35.69166667,0.0
20201110_070000, Naha,127.68666667,26.20666667,0.0
20201110_070000, Fukuoka,130.375,33.58166667,0.0
20201110_070000, Sendai,140.89666667,38.26166667,0.0
20201110_070000, Nigata,139.01833333,37.89333333,0.0
20201110_070000, Osaka,135.51833333,34.68166667,0.0
20201110_073000, Naha,127.68666667,26.20666667,0.0
20201110_073000, Sendai,140.89666667,38.26166667,0.0
20201110_073000, Tokyo,139.75,35.69166667,0.0
20201110_073000, Osaka,135.51833333,34.68166667,0.0
20201110_073000, Nigata,139.01833333,37.89333333,0.0
20201110_073000, Fukuoka,130.375,33.58166667,0.0
20201110_080000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_080000, Tokyo,139.75,35.69166667,0.0
20201110_080000, Sendai,140.89666667,38.26166667,0.0
20201110_080000, Naha,127.68666667,26.20666667,0.0
20201110_080000, Fukuoka,130.375,33.58166667,0.0
20201110_083000, Tokyo,139.75,35.69166667,0.0
20201110_083000, Fukuoka,130.375,33.58166667,0.0
20201110_083000, Naha,127.68666667,26.20666667,0.0
20201110_083000, Sendai,140.89666667,38.26166667,0.0
20201110_083000, Osaka,135.51833333,34.68166667,0.0
20201110_083000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_090000, Naha,127.68666667,26.20666667,0.0
20201110_090000, Sendai,140.89666667,38.26166667,0.0
20201110_090000, Nigata,139.01833333,37.89333333,0.400000005960464
20201110_090000, Osaka,135.51833333,34.68166667,0.0
20201110_090000, Tokyo,139.75,35.69166667,0.0
20201110_090000, Fukuoka,130.375,33.58166667,0.0
20201110_093000, Sendai,140.89666667,38.26166667,0.0
20201110_093000, Nigata,139.01833333,37.89333333,0.0
20201110_093000, Naha,127.68666667,26.20666667,0.0
20201110_093000, Tokyo,139.75,35.69166667,0.0
20201110_093000, Osaka,135.51833333,34.68166667,0.0
20201110_093000, Fukuoka,130.375,33.58166667,0.0
20201110_100000, Sendai,140.89666667,38.26166667,0.0
20201110_100000, Naha,127.68666667,26.20666667,0.0
20201110_100000, Osaka,135.51833333,34.68166667,0.0
20201110_100000, Nigata,139.01833333,37.89333333,0.0
20201110_100000, Tokyo,139.75,35.69166667,0.0
20201110_100000, Fukuoka,130.375,33.58166667,0.0
20201110_103000, Nigata,139.01833333,37.89333333,0.0
20201110_103000, Tokyo,139.75,35.69166667,0.0
20201110_103000, Sendai,140.89666667,38.26166667,0.0
20201110_103000, Naha,127.68666667,26.20666667,0.0
20201110_103000, Fukuoka,130.375,33.58166667,0.0
20201110_103000, Osaka,135.51833333,34.68166667,0.0
20201110_110000, Sendai,140.89666667,38.26166667,0.0
20201110_110000, Tokyo,139.75,35.69166667,0.0
20201110_110000, Naha,127.68666667,26.20666667,0.0
20201110_110000, Nigata,139.01833333,37.89333333,0.0
20201110_110000, Osaka,135.51833333,34.68166667,0.0
20201110_110000, Fukuoka,130.375,33.58166667,0.0
20201110_113000, Tokyo,139.75,35.69166667,0.0
20201110_113000, Osaka,135.51833333,34.68166667,0.0
20201110_113000, Sendai,140.89666667,38.26166667,0.0
20201110_113000, Fukuoka,130.375,33.58166667,0.0
20201110_113000, Naha,127.68666667,26.20666667,0.0
20201110_113000, Nigata,139.01833333,37.89333333,0.0
20201110_120000, Nigata,139.01833333,37.89333333,0.0
20201110_120000, Sendai,140.89666667,38.26166667,0.0
20201110_120000, Naha,127.68666667,26.20666667,0.0
20201110_120000, Fukuoka,130.375,33.58166667,0.0
20201110_120000, Osaka,135.51833333,34.68166667,0.0
20201110_120000, Tokyo,139.75,35.69166667,0.0
20201110_123000, Tokyo,139.75,35.69166667,0.0
20201110_123000, Nigata,139.01833333,37.89333333,0.0
20201110_123000, Sendai,140.89666667,38.26166667,0.0
20201110_123000, Osaka,135.51833333,34.68166667,0.0
20201110_123000, Naha,127.68666667,26.20666667,0.0
20201110_123000, Fukuoka,130.375,33.58166667,0.0
20201110_130000, Fukuoka,130.375,33.58166667,0.0
20201110_130000, Osaka,135.51833333,34.68166667,0.0
20201110_130000, Nigata,139.01833333,37.89333333,0.0
20201110_130000, Naha,127.68666667,26.20666667,0.0
20201110_130000, Tokyo,139.75,35.69166667,0.0
20201110_130000, Sendai,140.89666667,38.26166667,0.0
20201110_133000, Sendai,140.89666667,38.26166667,0.0
20201110_133000, Naha,127.68666667,26.20666667,0.0
20201110_133000, Tokyo,139.75,35.69166667,0.0
20201110_133000, Nigata,139.01833333,37.89333333,0.0
20201110_133000, Osaka,135.51833333,34.68166667,0.0
20201110_133000, Fukuoka,130.375,33.58166667,0.0
20201110_140000, Sendai,140.89666667,38.26166667,0.0
20201110_140000, Osaka,135.51833333,34.68166667,0.0
20201110_140000, Nigata,139.01833333,37.89333333,0.0
20201110_140000, Naha,127.68666667,26.20666667,0.0
20201110_140000, Tokyo,139.75,35.69166667,0.0
20201110_140000, Fukuoka,130.375,33.58166667,0.0
20201110_143000, Sendai,140.89666667,38.26166667,0.0
20201110_143000, Fukuoka,130.375,33.58166667,0.0
20201110_143000, Tokyo,139.75,35.69166667,0.0
20201110_143000, Nigata,139.01833333,37.89333333,0.0
20201110_143000, Naha,127.68666667,26.20666667,0.0
20201110_143000, Osaka,135.51833333,34.68166667,0.0
20201110_150000, Osaka,135.51833333,34.68166667,0.0
20201110_150000, Naha,127.68666667,26.20666667,0.0
20201110_150000, Fukuoka,130.375,33.58166667,0.0
20201110_150000, Nigata,139.01833333,37.89333333,0.0
20201110_150000, Tokyo,139.75,35.69166667,0.0
20201110_153000, Naha,127.68666667,26.20666667,0.0
20201110_153000, Tokyo,139.75,35.69166667,0.0
20201110_153000, Osaka,135.51833333,34.68166667,0.0
20201110_153000, Nigata,139.01833333,37.89333333,0.0
20201110_153000, Sendai,140.89666667,38.26166667,0.0
20201110_153000, Fukuoka,130.375,33.58166667,0.0
20201110_160000, Nigata,139.01833333,37.89333333,0.0
20201110_160000, Naha,127.68666667,26.20666667,0.0
20201110_160000, Osaka,135.51833333,34.68166667,0.0
20201110_160000, Fukuoka,130.375,33.58166667,0.0
20201110_160000, Sendai,140.89666667,38.26166667,0.0
20201110_160000, Tokyo,139.75,35.69166667,0.0
20201110_163000, Tokyo,139.75,35.69166667,0.0
20201110_163000, Fukuoka,130.375,33.58166667,0.0
20201110_163000, Sendai,140.89666667,38.26166667,0.0
20201110_163000, Naha,127.68666667,26.20666667,0.0
20201110_163000, Osaka,135.51833333,34.68166667,0.0
20201110_163000, Nigata,139.01833333,37.89333333,0.0
20201110_170000, Nigata,139.01833333,37.89333333,0.0
20201110_170000, Sendai,140.89666667,38.26166667,0.0
20201110_170000, Tokyo,139.75,35.69166667,0.0
20201110_170000, Fukuoka,130.375,33.58166667,0.0
20201110_170000, Osaka,135.51833333,34.68166667,0.0
20201110_173000, Nigata,139.01833333,37.89333333,0.0
20201110_173000, Osaka,135.51833333,34.68166667,0.0
20201110_173000, Naha,127.68666667,26.20666667,0.0
20201110_173000, Fukuoka,130.375,33.58166667,0.0
20201110_173000, Sendai,140.89666667,38.26166667,0.0
20201110_173000, Tokyo,139.75,35.69166667,0.0
20201110_180000, Fukuoka,130.375,33.58166667,0.0
20201110_180000, Nigata,139.01833333,37.89333333,0.0
20201110_180000, Tokyo,139.75,35.69166667,0.0
20201110_180000, Sendai,140.89666667,38.26166667,0.0
20201110_180000, Osaka,135.51833333,34.68166667,0.0
20201110_180000, Naha,127.68666667,26.20666667,0.0
20201110_183000, Tokyo,139.75,35.69166667,0.0
20201110_183000, Naha,127.68666667,26.20666667,0.0
20201110_183000, Osaka,135.51833333,34.68166667,0.0
20201110_183000, Fukuoka,130.375,33.58166667,0.0
20201110_183000, Nigata,139.01833333,37.89333333,0.0
20201110_183000, Sendai,140.89666667,38.26166667,0.0
20201110_190000, Nigata,139.01833333,37.89333333,0.0
20201110_190000, Tokyo,139.75,35.69166667,0.0
20201110_190000, Osaka,135.51833333,34.68166667,0.0
20201110_190000, Sendai,140.89666667,38.26166667,0.0
20201110_190000, Fukuoka,130.375,33.58166667,0.0
20201110_190000, Naha,127.68666667,26.20666667,0.0
20201110_193000, Nigata,139.01833333,37.89333333,0.0
20201110_193000, Naha,127.68666667,26.20666667,0.0
20201110_193000, Osaka,135.51833333,34.68166667,0.0
20201110_193000, Fukuoka,130.375,33.58166667,0.0
20201110_193000, Tokyo,139.75,35.69166667,0.0
20201110_193000, Sendai,140.89666667,38.26166667,0.0
20201110_200000, Fukuoka,130.375,33.58166667,0.0
20201110_200000, Osaka,135.51833333,34.68166667,0.0
20201110_200000, Sendai,140.89666667,38.26166667,0.0
20201110_200000, Tokyo,139.75,35.69166667,0.0
